species,charge_e,x_A,y_A,z_A
Br,-1.0000000000,-2.7809477429,5.4046490570,0.0000005386
Br,-1.0000000000,-5.4046492563,-0.0000003134,-2.7809473968
Br,-1.0000000000,0.0000002934,5.4046491225,-2.7809477139
Br,-1.0000000000,-5.4046493549,2.7809474046,0.0000005523
Br,-1.0000000000,0.0000004479,2.7809473469,-5.4046494093
Br,-1.0000000000,-2.7809479244,-0.0000004395,-5.4046492116
Br,-1.0000000000,0.0000003080,-2.7809482623,-5.4046491973
Br,-1.0000000000,2.7809483289,5.4046491917,0.0000005834
Br,-1.0000000000,2.7809481478,-0.0000003828,-5.4046492968
Br,-1.0000000000,-5.4046492249,-2.7809484133,0.0000005402
Br,-1.0000000000,5.4046497718,2.7809474375,0.0000006041
Br,-1.0000000000,5.4046498703,-0.0000002804,-2.7809473450
Br,-1.0000000000,0.0000003327,5.4046489986,2.7809490755
Br,-1.0000000000,0.0000002530,-5.4046498081,-2.7809477299
Br,-1.0000000000,-5.4046492419,-0.0000004416,2.7809489640
Br,-1.0000000000,-2.7809477833,-5.4046498735,0.0000005227
Br,-1.0000000000,2.7809482885,-5.4046497389,0.0000005674
Br,-1.0000000000,0.0000004945,2.7809473602,5.4046502856
Br,-1.0000000000,5.4046499018,-2.7809483803,0.0000005920
Br,-1.0000000000,5.4046498848,-0.0000004087,2.7809490158
Br,-1.0000000000,-2.7809478778,-0.0000004262,5.4046504833
Br,-1.0000000000,0.0000002922,-5.4046499320,2.7809490595
Br,-1.0000000000,2.7809481943,-0.0000003694,5.4046503981
Br,-1.0000000000,0.0000003546,-2.7809482490,5.4046504976
Sn,4.0000000000,-5.4046488221,0.0000007142,-5.4046495318
Sn,4.0000000000,-5.4046492835,5.4046493331,0.0000011350
Sn,4.0000000000,-0.0000004161,5.4046494027,-5.4046494152
Sn,4.0000000000,-5.4046493239,-5.4046495975,0.0000011190
Sn,4.0000000000,-5.4046487755,0.0000007276,5.4046501631
Sn,4.0000000000,-0.0000004566,-5.4046495279,-5.4046494312
