species,charge_e,x_A,y_A,z_A
I,-1.0000000000,-2.9106097436,0.0000002118,5.7804781873
I,-1.0000000000,-0.0000002485,2.9106097969,-5.7804782413
I,-1.0000000000,2.9106100457,-0.0000004667,-5.7804781754
I,-1.0000000000,0.0000004943,-2.9106101627,5.7804782095
I,-1.0000000000,-5.7804812063,-0.0000000689,2.9106101010
I,-1.0000000000,-2.9106098314,5.7804814560,-0.0000028903
I,-1.0000000000,2.9106100684,5.7804814111,0.0000035802
I,-1.0000000000,0.0000000749,5.7804814689,-2.9106099647
I,-1.0000000000,5.7804815037,-0.0000002165,-2.9106099929
I,-1.0000000000,-5.7804812190,2.9106105998,0.0000029901
I,-1.0000000000,-5.7804812575,-0.0000001545,-2.9106106213
I,-1.0000000000,-2.9106097716,-5.7804817092,-0.0000035180
I,-1.0000000000,-5.7804812092,-2.9106107980,-0.0000034982
I,-1.0000000000,0.0000002321,-5.7804817337,2.9106099113
I,-1.0000000000,0.0000001723,5.7804814315,2.9106105390
I,-1.0000000000,5.7804815422,2.9106105379,0.0000036185
I,-1.0000000000,2.9106101282,-5.7804817541,0.0000029525
I,-1.0000000000,5.7804815548,-0.0000001309,2.9106107294
I,-1.0000000000,5.7804815520,-2.9106108599,-0.0000028697
I,-1.0000000000,0.0000001347,-5.7804816963,-2.9106105924
I,-1.0000000000,0.0000003876,2.9106104134,5.7804846330
I,-1.0000000000,-2.9106103797,-0.0000004046,-5.7804846870
I,-1.0000000000,2.9106106817,0.0000001497,5.7804846989
I,-1.0000000000,-0.0000001418,-2.9106107791,-5.7804846647
Sn,4.0000000000,0.0000000367,5.7804809986,-5.7804809995
Sn,4.0000000000,-5.7804809471,0.0000002935,5.7804811838
Sn,4.0000000000,5.7804811780,-0.0000003849,-5.7804810621
Sn,4.0000000000,0.0000007325,-5.7804815502,5.7804812471
Sn,4.0000000000,-5.7804812626,-5.7804815821,-0.0000007488
Sn,4.0000000000,-5.7804813224,5.7804815831,-0.0000001210
Sn,4.0000000000,5.7804814388,5.7804815211,0.0000005074
