species,charge_e,x_A,y_A,z_A
Br,-1.0000000000,-5.3144250292,-2.8084693473,0.0000009911
Br,-1.0000000000,-2.8084693926,-5.3144255026,0.0000009652
Br,-1.0000000000,-5.3144251881,2.8084715921,-0.0000014057
Br,-1.0000000000,2.8084711605,-5.3144256211,-0.0000015729
Br,-1.0000000000,-2.8084724596,0.0000006072,-5.3144251221
Br,-1.0000000000,2.8084736075,0.0000007333,5.3144246725
Br,-1.0000000000,-5.3144251106,0.0000008075,2.8084728962
Br,-1.0000000000,5.3144269934,-2.8084695523,0.0000010841
Br,-1.0000000000,-2.8084695952,5.3144270710,0.0000012278
Br,-1.0000000000,-5.3144250928,0.0000007254,-2.8084737922
Br,-1.0000000000,2.8084709578,5.3144269526,-0.0000013104
Br,-1.0000000000,0.0000009867,-2.8084745040,-5.3144251560
Br,-1.0000000000,5.3144268344,2.8084713871,-0.0000013127
Br,-1.0000000000,0.0000009294,2.8084758007,5.3144247260
Br,-1.0000000000,0.0000010030,-5.3144256081,2.8084748770
Br,-1.0000000000,-2.8084723708,0.0000008645,5.3144271676
Br,-1.0000000000,5.3144269119,0.0000006025,2.8084729892
Br,-1.0000000000,0.0000010770,-5.3144256542,-2.8084755503
Br,-1.0000000000,5.3144269297,0.0000005204,-2.8084736992
Br,-1.0000000000,0.0000010755,-2.8084742467,5.3144271337
Br,-1.0000000000,2.8084735187,0.0000004761,-5.3144276172
Br,-1.0000000000,0.0000008003,5.3144269655,2.8084751395
Br,-1.0000000000,0.0000008743,5.3144269194,-2.8084752877
Br,-1.0000000000,0.0000008406,2.8084755434,-5.3144275637
Ti,4.0000000000,0.0000024866,-5.3144245153,5.3144250047
Ti,4.0000000000,5.3144256570,0.0000020581,5.3144239668
Ti,4.0000000000,-5.3144263656,0.0000022631,5.3144238738
Ti,4.0000000000,-5.3144247691,-5.3144254838,-0.0000005542
Ti,4.0000000000,0.0000023978,-5.3144247726,-5.3144272850
Ti,4.0000000000,-5.3144249718,5.3144270899,-0.0000002916
Ti,4.0000000000,5.3144272534,-5.3144256888,-0.0000004612
Ti,4.0000000000,0.0000022839,5.3144280583,5.3144252673
Ti,4.0000000000,5.3144255682,0.0000018008,-5.3144283229
Ti,4.0000000000,5.3144270507,5.3144268849,-0.0000001987
Ti,4.0000000000,0.0000021951,5.3144278010,-5.3144270224
Ti,4.0000000000,-5.3144264543,0.0000020058,-5.3144284159
Br,-1.0000000000,-2.5059497432,-5.3144254761,5.3144244260
Br,-1.0000000000,-5.3144250341,-2.5059516725,5.3144245196
Br,-1.0000000000,-2.5059499458,5.3144270975,5.3144246885
