species,charge_e,x_A,y_A,z_A
I,-1.0000000000,0.0000001215,-2.9232971568,-5.6652402027
I,-1.0000000000,0.0000001044,2.9232972728,5.6652402995
I,-1.0000000000,0.0000001591,2.9232972503,-5.6652403360
I,-1.0000000000,-2.9232976032,0.0000000268,-5.6652401809
I,-1.0000000000,0.0000000866,-5.6652404805,-2.9232970239
I,-1.0000000000,0.0000000667,-2.9232971343,5.6652404328
I,-1.0000000000,0.0000000742,-5.6652404670,2.9232970919
I,-1.0000000000,-5.6652402645,0.0000000092,-2.9232975533
I,-1.0000000000,0.0000001516,5.6652405669,-2.9232970007
I,-1.0000000000,0.0000001392,5.6652405804,2.9232971151
I,-1.0000000000,-5.6652402949,0.0000000320,2.9232976998
I,-1.0000000000,2.9232978242,0.0000000856,5.6652402808
I,-1.0000000000,-2.9232976580,0.0000000492,5.6652404546
I,-1.0000000000,2.9232978789,0.0000000631,-5.6652403547
I,-1.0000000000,5.6652404849,0.0000000981,2.9232976468
I,-1.0000000000,5.6652405153,0.0000000753,-2.9232976063
I,-1.0000000000,-5.6652402655,2.9232989088,0.0000000181
I,-1.0000000000,-5.6652403016,-2.9232988954,0.0000001380
I,-1.0000000000,-2.9232987837,-5.6652404941,0.0000001155
I,-1.0000000000,5.6652404782,-2.9232988294,0.0000000851
I,-1.0000000000,-2.9232987187,5.6652405532,0.0000001387
I,-1.0000000000,2.9232989415,-5.6652404558,-0.0000000429
I,-1.0000000000,5.6652405142,2.9232989749,-0.0000000349
I,-1.0000000000,2.9232990065,5.6652405915,-0.0000000197
Ti,4.0000000000,-5.6652378488,0.0000007850,-5.6652401672
Ti,4.0000000000,-5.6652379036,0.0000008074,5.6652404683
Ti,4.0000000000,-0.0000000806,5.6652394586,-5.6652397112
Ti,4.0000000000,-0.0000001353,5.6652394810,5.6652409243
Ti,4.0000000000,5.6652404057,-5.6652403925,-0.0000000821
Ti,4.0000000000,-5.6652403740,-5.6652404585,-0.0000000291
Ti,4.0000000000,-5.6652403090,5.6652405888,-0.0000000059
Ti,4.0000000000,5.6652404707,5.6652406549,-0.0000000589
Ti,4.0000000000,-0.0000001456,-5.6652415888,-5.6652397344
Ti,4.0000000000,-0.0000002003,-5.6652415663,5.6652409011
Ti,4.0000000000,5.6652429309,0.0000008510,-5.6652402201
Ti,4.0000000000,5.6652428762,0.0000008735,5.6652404154
I,-1.0000000000,-5.6652402268,5.6652405396,-2.7419412668
I,-1.0000000000,-5.6652402918,-5.6652405078,-2.7419412900
I,-1.0000000000,-5.6652402620,5.6652405410,2.7419414259
I,-1.0000000000,-5.6652403270,-5.6652405064,2.7419414027
I,-1.0000000000,5.6652404528,-5.6652404403,2.7419413498
I,-1.0000000000,5.6652404879,-5.6652404417,-2.7419413429
I,-1.0000000000,-5.6652402457,2.7419426025,-5.6652401701
I,-1.0000000000,5.6652405178,5.6652406070,2.7419413730
I,-1.0000000000,5.6652405529,5.6652406056,-2.7419413197
