species,charge_e,x_A,y_A,z_A
Br,-1.0000000000,0.0000001205,5.4026372522,-2.7823324126
Br,-1.0000000000,2.7823324315,5.4026372667,0.0000001648
Br,-1.0000000000,-2.7823325104,5.4026372476,0.0000000409
Br,-1.0000000000,-5.4026376366,2.7823317968,0.0000001955
Br,-1.0000000000,0.0000001493,5.4026372584,2.7823327813
Br,-1.0000000000,5.4026378885,2.7823317970,0.0000002107
Br,-1.0000000000,-5.4026376425,-0.0000001449,-2.7823323629
Br,-1.0000000000,-5.4026376214,-0.0000001594,2.7823325487
Br,-1.0000000000,2.7823324332,-5.4026376890,0.0000001671
Br,-1.0000000000,0.0000001222,-5.4026377035,-2.7823324104
Br,-1.0000000000,-2.7823325087,-5.4026377081,0.0000000431
Br,-1.0000000000,5.4026378826,-0.0000001446,-2.7823323476
Br,-1.0000000000,0.0000001510,-5.4026376973,2.7823327835
Br,-1.0000000000,-5.4026376425,-2.7823329042,0.0000000540
Br,-1.0000000000,5.4026379037,-0.0000001591,2.7823325640
Br,-1.0000000000,0.0000001123,2.7823322470,-5.4026381787
Br,-1.0000000000,5.4026378826,-2.7823329039,0.0000000692
Br,-1.0000000000,2.7823324584,-0.0000002042,-5.4026381736
Br,-1.0000000000,-2.7823322391,-0.0000001972,-5.4026383405
Br,-1.0000000000,-2.7823322193,-0.0000002003,5.4026383972
Br,-1.0000000000,0.0000001321,2.7823322439,5.4026385590
Br,-1.0000000000,0.0000000733,-2.7823327345,-5.4026383258
Br,-1.0000000000,0.0000000931,-2.7823327377,5.4026384120
Br,-1.0000000000,2.7823324782,-0.0000002074,5.4026385641
Zr,4.0000000000,-5.4026373621,-5.4026371299,0.0000001173
Zr,4.0000000000,-5.4026373638,5.4026378258,0.0000001151
Zr,4.0000000000,5.4026381630,-5.4026371296,0.0000001325
Zr,4.0000000000,-0.0000000141,5.4026373725,-5.4026383067
Zr,4.0000000000,-5.4026375700,-0.0000001058,-5.4026382093
Zr,4.0000000000,0.0000000056,5.4026373693,5.4026384311
Zr,4.0000000000,-0.0000000124,-5.4026375833,-5.4026383044
Zr,4.0000000000,5.4026381613,5.4026378261,0.0000001303
Zr,4.0000000000,0.0000000073,-5.4026375864,5.4026384333
Zr,4.0000000000,-5.4026375503,-0.0000001089,5.4026385285
Zr,4.0000000000,5.4026379551,-0.0000001055,-5.4026381941
Zr,4.0000000000,5.4026379748,-0.0000001086,5.4026385437
Br,-1.0000000000,-5.4026376582,5.4026372173,-2.6203054036
Br,-1.0000000000,-5.4026376499,5.4026372074,2.6203056011
Br,-1.0000000000,5.4026378669,5.4026372176,-2.6203053884
Br,-1.0000000000,5.4026378752,5.4026372077,2.6203056163
Br,-1.0000000000,-2.6203050720,5.4026372734,-5.4026381300
Br,-1.0000000000,-5.4026376565,-5.4026377384,-2.6203054014
Br,-1.0000000000,-5.4026376482,-5.4026377483,2.6203056033
Br,-1.0000000000,2.6203053805,5.4026372952,-5.4026382559
Br,-1.0000000000,5.4026378686,-5.4026377381,-2.6203053862
Br,-1.0000000000,-2.6203050703,-5.4026376823,-5.4026381278
Br,-1.0000000000,-5.4026376374,2.6203047929,-5.4026383115
Br,-1.0000000000,-2.6203050522,5.4026372703,5.4026386077
Br,-1.0000000000,5.4026378769,-5.4026377481,2.6203056186
Br,-1.0000000000,-5.4026376176,2.6203047898,5.4026384262
Br,-1.0000000000,-5.4026376313,-2.6203052643,-5.4026381964
Br,-1.0000000000,2.6203054003,5.4026372921,5.4026384818
Br,-1.0000000000,5.4026378877,2.6203047932,-5.4026382963
Br,-1.0000000000,2.6203053822,-5.4026376605,-5.4026382537
Br,-1.0000000000,5.4026378938,-2.6203052640,-5.4026381811
Br,-1.0000000000,5.4026379075,2.6203047900,5.4026384415
Br,-1.0000000000,-5.4026376115,-2.6203052674,5.4026385414
Br,-1.0000000000,-2.6203050505,-5.4026376855,5.4026386099
Br,-1.0000000000,2.6203054020,-5.4026376637,5.4026384841
Br,-1.0000000000,5.4026379136,-2.6203052671,5.4026385566
Br,-1.0000000000,0.0000001365,8.1849696814,0.0000002055
Br,-1.0000000000,-8.1849700234,-0.0000001924,0.0000000670
Br,-1.0000000000,0.0000001301,-8.1849702726,0.0000000608
Br,-1.0000000000,8.1849704364,-0.0000002004,0.0000002221
Br,-1.0000000000,0.0000001122,-0.0000001722,-8.1849709404
Br,-1.0000000000,0.0000001619,-0.0000001933,8.1849713477
Cs,1.0000000000,-2.7013187972,8.1039559820,-2.7013190387
Cs,1.0000000000,2.7013190436,8.1039559996,-2.7013190729
Cs,1.0000000000,-2.7013188143,8.1039560029,2.7013193114
Cs,1.0000000000,2.7013190948,8.1039560072,2.7013193500
Cs,1.0000000000,-2.7013187650,-8.1039564171,-2.7013190924
Cs,1.0000000000,-8.1039564960,2.7013185079,-2.7013191341
Cs,1.0000000000,-8.1039564748,2.7013185365,2.7013193601
Cs,1.0000000000,-2.7013187438,-8.1039564245,2.7013193632
Cs,1.0000000000,-8.1039564798,-2.7013189564,-2.7013190859
Cs,1.0000000000,2.7013190308,-8.1039564475,-2.7013191166
Cs,1.0000000000,-8.1039564285,-2.7013189488,2.7013193370
Cs,1.0000000000,2.7013190520,-8.1039564190,2.7013193775
Cs,1.0000000000,8.1039567584,2.7013185389,-2.7013190795
Cs,1.0000000000,8.1039567296,-2.7013189735,-2.7013190213
Cs,1.0000000000,8.1039567796,2.7013185315,2.7013193762
Cs,1.0000000000,8.1039567125,-2.7013189525,2.7013193289
Cs,1.0000000000,-2.7013187652,2.7013185343,-8.1039573768
Cs,1.0000000000,2.7013190306,2.7013185399,-8.1039573624
Cs,1.0000000000,-2.7013188323,-2.7013189497,-8.1039574241
Cs,1.0000000000,2.7013190768,-2.7013189454,-8.1039573855
Cs,1.0000000000,-2.7013187469,2.7013185355,8.1039576430
Cs,1.0000000000,2.7013190489,2.7013185051,8.1039576189
Cs,1.0000000000,-2.7013187757,-2.7013189769,8.1039577012
Cs,1.0000000000,2.7013190651,-2.7013189592,8.1039576671
Br,-1.0000000000,-5.4026376442,8.0229420515,0.0000000517
Br,-1.0000000000,5.4026378809,8.0229420518,0.0000000670
Br,-1.0000000000,0.0000000716,8.0229422212,-5.4026383280
Br,-1.0000000000,0.0000000914,8.0229422181,5.4026384097
Br,-1.0000000000,8.0229430147,5.4026372478,0.0000000561
Br,-1.0000000000,-8.0229430936,5.4026372664,0.0000001496
Br,-1.0000000000,8.0229430164,-5.4026377079,0.0000000584
Br,-1.0000000000,0.0000001140,-8.0229427087,-5.4026381765
