species,charge_e,x_A,y_A,z_A
I,-1.0000000000,-0.0000001530,-2.9214467523,-5.7687079185
I,-1.0000000000,-0.0000001310,2.9214470921,5.7687079906
I,-1.0000000000,-2.9214473706,0.0000001363,-5.7687080092
I,-1.0000000000,2.9214474738,0.0000000965,5.7687080007
I,-1.0000000000,5.7687082038,-2.9214471327,0.0000003032
I,-1.0000000000,5.7687082863,2.9214470324,-0.0000001541
I,-1.0000000000,-0.0000001128,-5.7687084481,-2.9214468149
I,-1.0000000000,-5.7687083891,2.9214469757,-0.0000001451
I,-1.0000000000,-0.0000001510,-2.9214469167,5.7687084457
I,-1.0000000000,-5.7687082825,0.0000001071,-2.9214472669
I,-1.0000000000,2.9214469068,-5.7687084924,0.0000000136
I,-1.0000000000,-5.7687083292,0.0000000126,2.9214473324
I,-1.0000000000,-0.0000001330,2.9214472565,-5.7687083735
I,-1.0000000000,5.7687083463,0.0000000693,2.9214473234
I,-1.0000000000,5.7687083930,0.0000001638,-2.9214472759
I,-1.0000000000,-2.9214473685,-0.0000000281,5.7687083549
I,-1.0000000000,-5.7687084717,-2.9214471894,0.0000003122
I,-1.0000000000,2.9214474718,0.0000002609,-5.7687083635
I,-1.0000000000,0.0000000178,-5.7687084529,2.9214473090
I,-1.0000000000,2.9214469704,5.7687086499,-0.0000001391
I,-1.0000000000,-0.0000000493,5.7687086942,-2.9214469676
I,-1.0000000000,-2.9214473725,-5.7687085160,0.0000002563
I,-1.0000000000,0.0000000813,5.7687086893,2.9214471563
I,-1.0000000000,-2.9214473089,5.7687086262,0.0000001036
Zr,4.0000000000,5.7687081619,0.0000001065,5.7687081693
Zr,4.0000000000,0.0000000498,5.7687083641,5.7687079836
Zr,4.0000000000,5.7687081599,0.0000002709,-5.7687081948
Zr,4.0000000000,-5.7687085135,0.0000000498,5.7687081784
Zr,4.0000000000,-5.7687085156,0.0000002142,-5.7687081858
Zr,4.0000000000,-5.7687082609,5.7687085156,-0.0000002494
Zr,4.0000000000,-0.0000000158,-5.7687086137,-5.7687082279
Zr,4.0000000000,0.0000000477,5.7687085286,-5.7687083806
Zr,4.0000000000,-0.0000000138,-5.7687087781,5.7687081362
Zr,4.0000000000,5.7687083510,-5.7687085699,-0.0000001058
Zr,4.0000000000,-5.7687083244,-5.7687086266,-0.0000000967
Zr,4.0000000000,5.7687084145,5.7687085723,-0.0000002584
I,-1.0000000000,2.8472609954,-5.7687084483,-5.7687078327
I,-1.0000000000,5.7687082102,-5.7687084697,-2.8472605833
I,-1.0000000000,5.7687082952,2.8472616189,-5.7687079570
I,-1.0000000000,-5.7687083802,2.8472615622,-5.7687079480
I,-1.0000000000,5.7687083055,-2.8472614826,5.7687080877
I,-1.0000000000,-2.8472612798,5.7687085440,5.7687079910
I,-1.0000000000,2.8472610589,5.7687086940,-5.7687079853
I,-1.0000000000,-5.7687083699,-2.8472615393,5.7687080968
I,-1.0000000000,5.7687083035,-2.8472613182,-5.7687082764
I,-1.0000000000,-5.7687084652,-5.7687085264,-2.8472605742
I,-1.0000000000,5.7687082738,5.7687086726,-2.8472607359
I,-1.0000000000,-5.7687083720,-2.8472613749,-5.7687082674
I,-1.0000000000,-2.8472613454,-5.7687084338,-5.7687082206
I,-1.0000000000,-5.7687084016,5.7687086158,-2.8472607268
I,-1.0000000000,-2.8472613433,-5.7687085983,5.7687081436
I,-1.0000000000,5.7687082972,2.8472614545,5.7687084071
I,-1.0000000000,2.8472610610,5.7687085296,5.7687083789
I,-1.0000000000,-5.7687083782,2.8472613978,5.7687084162
I,-1.0000000000,-5.7687083432,5.7687085085,2.8472613913
I,-1.0000000000,5.7687083322,5.7687085652,2.8472613822
I,-1.0000000000,5.7687082687,-5.7687085770,2.8472615349
I,-1.0000000000,2.8472609974,-5.7687086127,5.7687085315
I,-1.0000000000,-2.8472612818,5.7687087084,-5.7687083732
I,-1.0000000000,-5.7687084067,-5.7687086337,2.8472615439
I,-1.0000000000,-0.0000000773,0.0000002639,-8.6901558011
I,-1.0000000000,0.0000000215,0.0000000291,8.6901558586
I,-1.0000000000,-0.0000001571,-8.6901559514,0.0000004837
I,-1.0000000000,8.6901560408,0.0000001408,-0.0000001468
I,-1.0000000000,-8.6901561606,0.0000000224,0.0000002070
I,-1.0000000000,0.0000000100,8.6901562434,-0.0000002290
Cs,1.0000000000,2.8843541152,-2.8843540856,-8.6530622309
Cs,1.0000000000,-2.8843542828,-2.8843541020,-8.6530622466
Cs,1.0000000000,8.6530624031,-2.8843541956,-2.8843539694
Cs,1.0000000000,-2.8843541807,2.8843542866,8.6530623050
Cs,1.0000000000,2.8843541685,2.8843543017,8.6530623080
Cs,1.0000000000,8.6530623946,-2.8843542097,2.8843541085
Cs,1.0000000000,2.8843541022,2.8843545177,-8.6530623091
Cs,1.0000000000,-2.8843542059,2.8843544717,-8.6530622927
Cs,1.0000000000,2.8843540892,-2.8843543598,8.6530624166
Cs,1.0000000000,8.6530624715,2.8843543640,2.8843540624
Cs,1.0000000000,-2.8843542703,-2.8843544167,8.6530624038
Cs,1.0000000000,-8.6530625883,-2.8843542521,-2.8843539385
Cs,1.0000000000,-8.6530625090,2.8843544094,-2.8843540471
Cs,1.0000000000,2.8843541029,-8.6530626761,-2.8843539036
Cs,1.0000000000,8.6530624927,2.8843545077,-2.8843540682
Cs,1.0000000000,-8.6530625712,2.8843542966,2.8843540641
Cs,1.0000000000,-8.6530625582,-2.8843543068,2.8843541423
