species_name,formula,dHf_0K,dHf_298K,units,atct_id,molar_mass,molar_mass_uncertainty,cas_number,atct_seq,uncertainty_kJmol,species_type,number_of_atoms,cleaned_formula,number_of_elements,CID,Canonical_SMILES,Isomeric_SMILES,InChI,H-H_S,N-N_T,O-O_D,F-F_S,Cl-Cl_S,Br-Br_S,I-I_S,C-H_S,H-O_S,C-O_D,C-C_S,C-C_D,C-O_S,H-N_S,C-O_T,C-C_T,Cl-H_S,C-C_A,F-H_S,C-N_T,Br-H_S,N-O_D,C-N_S,C-Cl_S,O-O_S,H-I_S,N-O_S,C-F_S,H-Si_S,O-S_D,Br-C_S,Cl-O_S,C-N_D,Br-O_S,C-I_S,H-S_S,F-O_S,C-Si_S,O-S_S,F-Si_S,I-O_S,O-Si_S,Cl-F_S,N-N_D,F-N_S,C-N_A,Si-Si_S,N-O_T,Si-Si_D,S-S_D,C-S_S,O-Si_D,I-O_D,N-N_S,Cl-I_S,Br-Si_S,Cl-Si_S,C-S_D,C-O_A,B-O_S,B-Cl_S,Br-I_S,Cl-N_S,B-H_S,C-Si_T,B-F_S,Si-Si_T,B-C_S,B-N_S,I-Si_S,Cl-S_S,C-S_T,B-N_T,O-O_A,I-I_D,C-I_D,N-O_A,Br-Cl_S,S-S_S,N-N_A,H-Pt_S,O-S_A,S-S_A,N-S_S,Structure_source,SINGLE,num_bonds,TRIPLE,DOUBLE,AROMATIC
Dihydrogen,H2 (g),0.0,0.0,,1333-74-0*0,2.01588,0.00014,1333-74-0,0,0.0,molecule,2,H2,1,783.0,[HH],[HH],InChI=1S/H2/h1H,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PubChem,1,1,0,0,0
Dinitrogen,N2 (g),0.0,0.0,,7727-37-9*0,28.01348,0.00014,7727-37-9,0,0.0,molecule,2,N2,1,947.0,N#N,N#N,InChI=1S/N2/c1-2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PubChem,0,1,1,0,0
Dioxygen,O2 (g),0.0,0.0,,7782-44-7*0,31.9988,0.0006,7782-44-7,0,0.0,molecule,2,O2,1,977.0,O=O,O=O,InChI=1S/O2/c1-2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PubChem,0,1,0,1,0
Difluorine,F2 (g),0.0,0.0,,7782-41-4*0,37.9968064,1e-06,7782-41-4,0,0.0,molecule,2,F2,1,24524.0,FF,FF,InChI=1S/F2/c1-2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PubChem,1,1,0,0,0
Dichlorine,Cl2 (g),0.0,0.0,,7782-50-5*0,70.9054,0.0018,7782-50-5,0,0.0,molecule,2,Cl2,1,24526.0,ClCl,ClCl,InChI=1S/Cl2/c1-2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PubChem,1,1,0,0,0
Dibromine,"Br2 (cr,l)",0.0,0.0,,7726-95-6*500,159.808,0.002,7726-95-6,500,0.0,molecule,2,Br2,1,24408.0,BrBr,BrBr,InChI=1S/Br2/c1-2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PubChem,1,1,0,0,0
Diiodine,"I2 (cr,l)",0.0,0.0,,7553-56-2*500,253.80894,6e-05,7553-56-2,500,0.0,molecule,2,I2,1,807.0,II,II,InChI=1S/I2/c1-2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PubChem,1,1,0,0,0
Deuterium molecule,D2 (g),0.0,0.0,,7782-39-0*0,4.028203556,8e-10,7782-39-0,0,0.0,molecule,2,D2,1,24523.0,[HH],[2H][2H],InChI=1S/H2/h1H/i1+1D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PubChem,1,1,0,0,0
Methane,CH4 (g),-66.543,-74.513,kJ/mol,74-82-8*0,16.04246,0.00085,74-82-8,0,,molecule,5,CH4,2,297.0,C,C,InChI=1S/CH4/h1H4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PubChem,4,4,0,0,0
Water,"H2O (cr,l)",-286.274,-285.802,kJ/mol,7732-18-5*500,18.01528,0.00033,7732-18-5,500,,molecule,3,H2O,2,962.0,O,O,InChI=1S/H2O/h1H2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PubChem,2,2,0,0,0
