  IC      Seed  
     2    27227
     3    15247
     4    23020
     5    19662
     6    13334
     7    21473
     8    36133
     9    18027
    10    19607
    11    28894
    12    22826
    13    12115
    14    34537
    15    41692
    16    27037
    17    16046
    18    35555
    19    37295
    20    26533
    21    19822
    22    14761
    23    25855
    24    36698
    25    17073
    26    21428
    27    16326
    28    18309
    29    22499
    30    17679
    31    39490
    32    21758
    33    12165
    34    42276
    35    38992
    36    40700
    37    42742
    38    12106
    39    24738
    40    32325
    41    20615
    42    36788
    43    12166
    44    31875
    45    21390
    46    20548
    47    27905
    48    41365
    49    30712
    50    36826
