# time rdo00 rdo01 rdo10 rdo11
0.0 1.00000000+0.00000000j 0.00000000+0.00000000j 0.00000000+0.00000000j 0.00000000+0.00000000j
1.0 0.99683562-0.00000000j 0.00786957+0.05549730j 0.00786968-0.05549756j 0.00316438+0.00000000j
2.0 0.98767804-0.00000002j 0.03025769+0.10513617j 0.03025936-0.10513873j 0.01232195+0.00000003j
3.0 0.97347334-0.00000020j 0.06384808+0.14414986j 0.06385490-0.14415569j 0.02652663+0.00000023j
4.0 0.95560672-0.00000080j 0.10398969+0.16962583j 0.10400578-0.16963313j 0.04439324+0.00000086j
5.000000000000001 0.93567290-0.00000200j 0.14562536+0.18077431j 0.14565339-0.18077867j 0.06432705+0.00000209j
6.0 0.91524235-0.00000387j 0.18416349+0.17875417j 0.18420315-0.17874957j 0.08475759+0.00000400j
7.000000000000001 0.89566752-0.00000630j 0.21610701+0.16616102j 0.21615458-0.16614187j 0.10433242+0.00000648j
8.0 0.87795735-0.00000903j 0.23935346+0.14636403j 0.23940245-0.14632656j 0.12204259+0.00000923j
9.0 0.86272679-0.00001164j 0.25318569+0.12286729j 0.25322788-0.12281061j 0.13727318+0.00001183j
10.000000000000002 0.85021102-0.00001362j 0.25804256+0.09881542j 0.25806965-0.09874230j 0.14978894+0.00001381j
11.0 0.84032510-0.00001455j 0.25518094+0.07669156j 0.25518606-0.07660829j 0.15967480+0.00001473j
12.0 0.83274713-0.00001411j 0.24632616+0.05819736j 0.24630540-0.05811280j 0.16725270+0.00001429j
13.000000000000002 0.82700666-0.00001221j 0.23337237+0.04426900j 0.23332599-0.04419303j 0.17299313+0.00001243j
14.000000000000002 0.82256621-0.00000897j 0.21815843+0.03517593j 0.21809107-0.03511772j 0.17743357+0.00000926j
15.000000000000002 0.81888922-0.00000478j 0.20231902+0.03065661j 0.20223904-0.03062266j 0.18111053+0.00000511j
16.0 0.81549232-0.00000017j 0.18719411+0.03006042j 0.18711185-0.03005320j 0.18450737+0.00000051j
17.0 0.81198141+0.00000427j 0.17378132+0.03248141j 0.17370711-0.03249899j 0.18801820-0.00000393j
18.0 0.80807377+0.00000800j 0.16271452+0.03688145j 0.16265663-0.03691814j 0.19192576-0.00000765j
19.000000000000004 0.80360619+0.00001064j 0.15426600+0.04220373j 0.15422925-0.04225155j 0.19639328-0.00001032j
20.000000000000004 0.79853099+0.00001207j 0.14837046+0.04747880j 0.14835576-0.04752938j 0.20146845-0.00001182j
21.000000000000004 0.79290046+0.00001234j 0.14467577+0.05191932j 0.14468067-0.05196556j 0.20709892-0.00001219j
22.0 0.78684203+0.00001165j 0.14262195+0.05499412j 0.14264185-0.05503121j 0.21315735-0.00001160j
23.0 0.78052630+0.00001027j 0.14154397+0.05646952j 0.14157354-0.05649517j 0.21947308-0.00001032j
24.0 0.77413319+0.00000849j 0.14078494+0.05640714j 0.14081922-0.05642110j 0.22586614-0.00000860j
25.000000000000004 0.76782114+0.00000655j 0.13979963+0.05511503j 0.13983465-0.05511838j 0.23217820-0.00000669j
26.000000000000004 0.76170356+0.00000463j 0.13822881+0.05306110j 0.13826160-0.05305556j 0.23829580-0.00000478j
27.000000000000004 0.75583696+0.00000289j 0.13592804+0.05076665j 0.13595649-0.05075417j 0.24416240-0.00000305j
28.000000000000004 0.75022080+0.00000144j 0.13294945+0.04870514j 0.13297213-0.04868778j 0.24977855-0.00000160j
29.000000000000004 0.74480743+0.00000035j 0.12948601+0.04722758j 0.12950210-0.04720749j 0.25519189-0.00000050j
30.000000000000004 0.73951828-0.00000036j 0.12579775+0.04652710j 0.12580711-0.04650641j 0.26048101+0.00000022j
31.000000000000004 0.73426190-0.00000070j 0.12214114+0.04664252j 0.12214434-0.04662321j 0.26573735+0.00000057j
32.0 0.72894972-0.00000073j 0.11871782+0.04749071j 0.11871604-0.04747437j 0.27104950+0.00000060j
33.0 0.72350736-0.00000053j 0.11564974+0.04891232j 0.11564460-0.04890000j 0.27649182+0.00000039j
34.0 0.71788066-0.00000021j 0.11297922+0.05071619j 0.11297257-0.05070832j 0.28211850+0.00000005j
35.0 0.71203723+0.00000012j 0.11068599+0.05271316j 0.11067966-0.05270951j 0.28796192-0.00000033j
36.0 0.70596494+0.00000036j 0.10871187+0.05473603j 0.10870742-0.05473578j 0.29403417-0.00000064j
37.0 0.69966908+0.00000046j 0.10698486+0.05664572j 0.10698335-0.05664763j 0.30033001-0.00000081j
38.00000000000001 0.69316912+0.00000040j 0.10543681+0.05832968j 0.10543868-0.05833230j 0.30682995-0.00000080j
39.00000000000001 0.68649593+0.00000018j 0.10401378+0.05969694j 0.10401885-0.05969883j 0.31350314-0.00000061j
40.00000000000001 0.67968980-0.00000017j 0.10267772+0.06067137j 0.10268524-0.06067133j 0.32030930-0.00000025j
41.00000000000001 0.67279896-0.00000063j 0.10140273+0.06118875j 0.10141161-0.06118601j 0.32720019+0.00000022j
42.00000000000001 0.66587817-0.00000113j 0.10016801+0.06119713j 0.10017696-0.06119140j 0.33412101+0.00000073j
43.00000000000001 0.65898720-0.00000160j 0.09895003+0.06066010j 0.09895779-0.06065156j 0.34101200+0.00000121j
44.0 0.65218872-0.00000199j 0.09771658+0.05956218j 0.09772203-0.05955139j 0.34781050+0.00000159j
44.99999999999999 0.64554573-0.00000223j 0.09642393+0.05791450j 0.09642622-0.05790239j 0.35445355+0.00000182j
45.99999999999999 0.63911822-0.00000228j 0.09501865+0.05575989j 0.09501732-0.05574765j 0.36088113+0.00000186j
46.99999999999999 0.63295940-0.00000212j 0.09344433+0.05317489j 0.09343942-0.05316386j 0.36704001+0.00000168j
47.999999999999986 0.62711204-0.00000174j 0.09165133+0.05026698j 0.09164347-0.05025834j 0.37288744+0.00000132j
48.99999999999998 0.62160539-0.00000122j 0.08960746+0.04716612j 0.08959774-0.04716061j 0.37839414+0.00000081j
49.99999999999997 0.61645339-0.00000064j 0.08730590+0.04401121j 0.08729557-0.04400899j 0.38354620+0.00000024j
50.999999999999964 0.61165456-0.00000006j 0.08476772+0.04093404j 0.08475786-0.04093476j 0.38834508-0.00000032j
51.999999999999964 0.60719367+0.00000046j 0.08203751+0.03804452j 0.08202883-0.03804748j 0.39280603-0.00000084j
52.99999999999996 0.60304481+0.00000091j 0.07917339+0.03542066j 0.07916620-0.03542512j 0.39695492-0.00000129j
53.999999999999964 0.59917520+0.00000127j 0.07623438+0.03310592j 0.07622867-0.03311128j 0.40082454-0.00000164j
54.99999999999996 0.59554892+0.00000155j 0.07326890+0.03111390j 0.07326455-0.03111977j 0.40445083-0.00000192j
55.99999999999995 0.59212973+0.00000176j 0.07030813+0.02943846j 0.07030500-0.02944460j 0.40787001-0.00000212j
56.99999999999994 0.58888265+0.00000192j 0.06736563+0.02806509j 0.06736372-0.02807128j 0.41111705-0.00000226j
57.999999999999936 0.58577437+0.00000200j 0.06444208+0.02697991j 0.06444145-0.02698590j 0.41422527-0.00000232j
58.999999999999936 0.58277289+0.00000202j 0.06153270+0.02617454j 0.06153340-0.02618001j 0.41722668-0.00000232j
59.99999999999993 0.57984679+0.00000195j 0.05863470+0.02564651j 0.05863667-0.02565111j 0.42015271-0.00000224j
60.99999999999992 0.57696473+0.00000181j 0.05575280+0.02539647j 0.05575585-0.02539994j 0.42303471-0.00000209j
61.999999999999915 0.57409531+0.00000162j 0.05290208+0.02542395j 0.05290593-0.02542618j 0.42590409-0.00000190j
62.99999999999991 0.57120741+0.00000138j 0.05010832+0.02572332j 0.05011269-0.02572437j 0.42879197-0.00000166j
63.999999999999915 0.56827099+0.00000112j 0.04740672+0.02628068j 0.04741148-0.02628071j 0.43172840-0.00000140j
64.99999999999991 0.56525812+0.00000083j 0.04483971+0.02707206j 0.04484484-0.02707123j 0.43474129-0.00000112j
65.9999999999999 0.56214422+0.00000052j 0.04245431+0.02806264j 0.04245988-0.02806100j 0.43785522-0.00000082j
66.9999999999999 0.55890926+0.00000019j 0.04029922+0.02920659j 0.04030522-0.02920401j 0.44109022-0.00000049j
