# vmf_atol: 1e-07 | ps2_atol: 1e-07 | ps2_ratio: 2.0 | ode_method: dopri5 | ode_atol: 1e-07 | ode_rtol: 1e-05 | vmf_reg_method: extend | vmf_reg_type: ip | cache_svd_info: True
# frame = {Node('[H]0'): [End('[H]i'), End('[H]j'), Node('[H]3')], Node('[H]3'): [Node('[H]0'), Node('[H]2'), Node('[H]1')], Node('[H]2'): [Node('[H]3'), End('[H]0-2'), End('[H]0-3')], Node('[H]1'): [Node('[H]3'), End('[H]0-0'), End('[H]0-1')]}
# time ode_steps max_rank tr norm
# # ([H]0)-([H]3) ([H]3)-([H]1) ([H]3)-([H]2)
0.0 0 20 1.0 1.0
# 20 20 20
1.0 188 20 0.9999999978059176 1.0036321593105964
# 4 20 20
2.0 188 20 0.9999999849906662 1.014266850642851
# 4 20 20
3.0 188 20 0.9999999717837823 1.0311990348268878
# 4 20 20
4.0 188 20 0.9999999595850702 1.0533901170669144
# 4 20 20
5.000000000000001 182 20 0.9999999514821719 1.0795832481711096
# 4 20 20
6.0 182 20 0.9999999413235591 1.1084070112180342
# 4 20 20
7.000000000000001 182 20 0.9999999352439953 1.138445542589605
# 4 20 20
8.0 182 20 0.9999999412054308 1.1682831289553122
# 4 20 20
9.0 182 20 0.9999999680964125 1.1965453466220877
# 4 20 20
10.000000000000002 182 20 0.9999999607068222 1.2219585686523402
# 4 20 20
11.0 182 20 0.999999898849984 1.2434370348998685
# 4 20 20
12.0 188 20 0.9999998321403678 1.2601896690839078
# 4 20 20
13.000000000000002 194 20 0.9999997938741547 1.271823682658092
# 4 20 20
14.000000000000002 194 20 0.9999997795916021 1.2784147187839978
# 4 20 20
15.000000000000002 194 20 0.9999997507285376 1.280515570124963
# 4 20 20
16.0 200 20 0.9999996947485658 1.2790876981028836
# 4 20 20
17.0 206 20 0.9999996148222176 1.2753567071294938
# 4 20 20
18.0 206 20 0.9999995352258293 1.270611995126061
# 4 20 20
19.000000000000004 206 20 0.999999469106041 1.2659873915706996
# 4 20 20
20.000000000000004 206 20 0.9999994350232829 1.2622684994019338
# 4 20 20
21.000000000000004 206 20 0.9999993856225713 1.2597718418090345
# 4 20 20
22.0 206 20 0.9999993737824285 1.2583272684067046
# 4 20 20
23.0 206 20 0.9999993839595455 1.2573707604549844
# 4 20 20
24.0 206 20 0.9999993364185631 1.2561252116830446
# 4 20 20
25.000000000000004 206 20 0.9999993467595419 1.2538239262513897
# 4 20 20
26.000000000000004 206 20 0.9999993598708847 1.2499206169299615
# 4 20 20
27.000000000000004 206 20 0.9999993648340418 1.2442364466422953
# 4 20 20
28.000000000000004 206 20 0.9999993490634814 1.2370126472250806
# 4 20 20
29.000000000000004 206 20 0.9999993216005754 1.2288627288262368
# 4 20 20
30.000000000000004 206 20 0.9999992897653454 1.2206419533100064
# 4 20 20
31.000000000000004 206 20 0.9999992525613781 1.213269161943882
# 4 20 20
32.0 206 20 0.9999992228526258 1.2075436875058532
# 4 20 20
33.0 206 20 0.9999991859395717 1.203997772709552
# 4 20 20
34.0 206 20 0.9999991616353952 1.202814038579075
# 4 20 20
35.0 206 20 0.9999991502342596 1.2038215117800304
# 4 20 20
36.0 206 20 0.9999991172559299 1.2065663016759884
# 4 20 20
37.0 206 20 0.9999990863036335 1.2104386659482538
# 4 20 20
38.00000000000001 206 20 0.9999990672745038 1.2148290066333276
# 4 20 20
39.00000000000001 206 20 0.9999990717098733 1.2192817029740266
# 4 20 20
40.00000000000001 206 20 0.9999991009639249 1.2236161076506238
# 4 20 20
41.00000000000001 206 20 0.9999991462921827 1.2279885928687018
# 4 20 20
42.00000000000001 206 20 0.9999991826653589 1.2328770549216508
# 4 20 20
43.00000000000001 206 20 0.9999991960958363 1.2389814412832172
# 4 20 20
44.0 206 20 0.9999992221460829 1.2470503173753853
# 4 20 20
44.99999999999999 206 20 0.9999992820483723 1.257662751254334
# 4 20 20
45.99999999999999 206 20 0.9999993493039554 1.2710117391199887
# 4 20 20
46.99999999999999 206 20 0.99999941506423 1.2867434782516025
# 4 20 20
47.999999999999986 206 20 0.9999994757083825 1.3038992307245618
# 4 20 20
48.99999999999998 206 20 0.9999995300701046 1.320983215742434
# 4 20 20
49.99999999999997 206 20 0.9999995827439127 1.336148876812005
# 4 20 20
50.999999999999964 206 20 0.9999996413827638 1.347467945487207
# 4 20 20
51.999999999999964 206 20 0.9999996982478535 1.3532300073648593
# 4 20 20
52.99999999999996 206 20 0.9999997344216498 1.3522166879140272
# 4 20 20
53.999999999999964 206 20 0.9999997447245753 1.3439016870051554
# 4 20 20
54.99999999999996 206 20 0.9999997484632132 1.3285427448868457
# 4 20 20
55.99999999999995 206 20 0.9999997359907862 1.30715144439397
# 4 20 20
56.99999999999994 200 20 0.9999996985653774 1.281348697619474
# 4 20 20
57.999999999999936 200 20 0.9999996395648579 1.2531335755706667
# 4 20 20
58.999999999999936 200 20 0.9999995694732182 1.224608018167601
# 4 20 20
59.99999999999993 200 20 0.9999994998809418 1.1977071611320815
# 4 20 20
60.99999999999992 200 20 0.9999994410556132 1.1739831157413714
# 4 20 20
61.999999999999915 182 20 0.9999994004949304 1.154478807485913
# 4 20 20
62.99999999999991 182 20 0.9999993815003632 1.139708912732696
# 4 20 20
63.999999999999915 182 20 0.999999385090783 1.1297406015982563
# 4 20 20
64.99999999999991 182 20 0.9999994089964416 1.1243441360390325
# 4 20 20
65.9999999999999 182 20 0.9999994444476537 1.1231693086765575
# 4 20 20
66.9999999999999 182 20 0.9999994815447795 1.1259015378483213
# 4 20 20
67.9999999999999 182 20 0.9999995175296892 1.1323601176574671
# 4 20 20
68.99999999999989 182 20 0.9999995573851528 1.1425167686294726
# 4 20 20
69.99999999999989 182 20 0.9999996008671596 1.1564314477544322
# 4 20 20
70.99999999999987 182 20 0.9999996398956057 1.1741218368014215
# 4 20 20
71.99999999999987 188 20 0.9999996743879751 1.1954001594551045
# 4 20 20
72.99999999999987 188 20 0.999999705472765 1.219721761371064
# 4 20 20
73.99999999999987 194 20 0.999999731731208 1.2460897469974523
# 4 20 20
74.99999999999987 200 20 0.9999997507919941 1.2730475343463576
# 4 20 20
75.99999999999986 206 20 0.9999997629484438 1.298770188872779
# 4 20 20
76.99999999999986 206 20 0.9999997727064407 1.321242848902452
# 4 20 20
77.99999999999984 194 20 0.9999997850671514 1.338496749754086
# 4 20 20
78.99999999999984 194 20 0.9999998011920125 1.3488631147693761
# 4 20 20
79.99999999999984 194 20 0.9999998197577331 1.3512024619897773
# 4 20 20
80.99999999999983 200 20 0.9999998378143622 1.3450708763850514
# 4 20 20
81.99999999999983 206 20 0.9999998488020414 1.3307949172909148
# 4 20 20
82.99999999999983 206 20 0.9999998486827892 1.3094420264358033
# 4 20 20
83.99999999999983 206 20 0.9999998371537493 1.2826911811309776
# 4 20 20
84.99999999999982 206 20 0.999999817388821 1.2526259029025821
# 4 20 20
85.99999999999983 206 20 0.9999997930482027 1.2214846472316672
# 4 20 20
86.99999999999983 206 20 0.999999766302141 1.191410030962729
# 4 20 20
87.99999999999984 206 20 0.9999997381304211 1.1642375349755147
# 4 20 20
88.99999999999984 206 20 0.9999997073269002 1.1413564098997822
# 4 20 20
89.99999999999984 206 20 0.9999996741438837 1.1236610944192424
# 4 20 20
90.99999999999986 206 20 0.9999996466624137 1.1115921359434802
# 4 20 20
91.99999999999984 206 20 0.9999996348705033 1.105245297477039
# 4 20 20
92.99999999999986 206 20 0.999999638587068 1.1045121490491197
# 4 20 20
93.99999999999986 206 20 0.9999996524714163 1.1092100726833682
# 4 20 20
94.99999999999986 206 20 0.9999996743483877 1.119165664496072
# 4 20 20
95.99999999999987 206 20 0.9999997002023009 1.134230477178256
# 4 20 20
96.99999999999987 206 20 0.9999997267319374 1.1542274188701074
# 4 20 20
97.99999999999989 206 20 0.999999748292029 1.1788452254578425
# 4 20 20
98.99999999999989 206 20 0.9999997652831011 1.207513206047751
# 4 20 20
99.9999999999999 206 20 0.9999997781391257 1.2392950633204587
# 4 20 20
100.9999999999999 206 20 0.9999997870227012 1.272837086287804
# 4 20 20
101.99999999999991 206 20 0.9999997936826983 1.3063934816175093
# 4 20 20
102.9999999999999 206 20 0.9999998005125676 1.3379342076257628
# 4 20 20
103.9999999999999 206 20 0.9999998088520453 1.3653233591140477
# 4 20 20
104.99999999999991 206 20 0.9999998198255718 1.3865424610534514
# 4 20 20
105.99999999999991 206 20 0.9999998378315351 1.3999244684960885
# 4 20 20
106.99999999999993 206 20 0.9999998714860822 1.4043613211068846
# 4 20 20
107.99999999999993 206 20 0.999999904742578 1.3994509717989316
# 4 20 20
108.99999999999994 206 20 0.9999999317435193 1.3855590370266766
