# vmf_atol: 1e-07 | ps2_atol: 1e-07 | ps2_ratio: 2.0 | ode_method: dopri5 | ode_atol: 1e-07 | ode_rtol: 1e-05 | vmf_reg_method: extend | vmf_reg_type: ip | cache_svd_info: True
# frame = {Node('[H]0'): [End('[H]i'), End('[H]j'), Node('[H]3')], Node('[H]3'): [Node('[H]0'), Node('[H]2'), Node('[H]1')], Node('[H]2'): [Node('[H]3'), End('[H]0-2'), End('[H]0-3')], Node('[H]1'): [Node('[H]3'), End('[H]0-0'), End('[H]0-1')]}
# time ode_steps max_rank tr norm
# # ([H]0)-([H]3) ([H]3)-([H]1) ([H]3)-([H]2)
0.0 0 20 1.0 1.0
# 20 20 20
1.0 110 20 1.0000000000008196 1.0036316468026334
# 20 20 20
2.0 50 20 0.9999999999922967 1.0142652902172404
# 20 20 20
3.0 56 20 0.9999999999915008 1.0311970798443002
# 20 20 20
4.0 62 20 0.9999999999913112 1.0533879126820083
# 20 20 20
5.000000000000001 74 20 0.999999999991264 1.0795808852341162
# 20 20 20
6.0 80 20 0.9999999999913203 1.1084043595883346
# 20 20 20
7.000000000000001 74 20 0.9999999999924631 1.1384421971315632
# 20 20 20
8.0 74 20 0.9999999999952767 1.1682784359084026
# 20 20 20
9.0 74 20 0.9999999999981454 1.196538564869659
# 20 20 20
10.000000000000002 74 20 1.0000000000046143 1.221949083786026
# 20 20 20
11.0 68 20 1.0000000000152551 1.243424634242546
# 20 20 20
12.0 56 20 1.0000000000280376 1.2601747233620033
# 20 20 20
13.000000000000002 50 20 1.000000000024405 1.2718071452552488
# 20 20 20
14.000000000000002 50 20 0.9999999999726668 1.278397885483073
# 20 20 20
15.000000000000002 38 20 0.9999999998419878 1.2804998455170005
# 20 20 20
16.0 32 20 0.9999999996272384 1.2790743055970104
# 20 20 20
17.0 32 20 0.999999999344962 1.275346446737326
# 20 20 20
18.0 32 20 0.9999999990633446 1.2706052002683843
# 20 20 20
19.000000000000004 32 20 0.999999998975833 1.2659839042703653
# 20 20 20
20.000000000000004 32 20 0.999999999287932 1.2622677227639882
# 20 20 20
21.000000000000004 26 20 0.9999999997491157 1.259772861471982
# 20 20 20
22.0 26 20 1.0000000001811737 1.2583290794658772
# 20 20 20
23.0 26 20 1.0000000004593401 1.2573724022591974
# 20 20 20
24.0 26 20 1.0000000006406378 1.2561259751670935
# 20 20 20
25.000000000000004 26 20 1.0000000007817522 1.2538233998835826
# 20 20 20
26.000000000000004 26 20 1.0000000009192869 1.2499187586940095
# 20 20 20
27.000000000000004 26 20 1.0000000010109644 1.244233461139621
# 20 20 20
28.000000000000004 26 20 1.0000000009926238 1.2370088331083504
# 20 20 20
29.000000000000004 26 20 1.0000000008725336 1.2288583097555157
# 20 20 20
30.000000000000004 20 20 1.000000000954766 1.2206369769480756
# 20 20 20
31.000000000000004 20 20 1.0000000018155637 1.2132634756297773
# 20 20 20
32.0 20 20 1.0000000040442958 1.20753698361041
# 20 20 20
33.0 20 20 1.0000000088662189 1.2039896648651809
# 20 20 20
34.0 20 20 1.000000018678643 1.202804172157531
# 20 20 20
35.0 20 20 1.0000000344157938 1.2038096477415043
# 20 20 20
36.0 20 20 1.0000000539350746 1.2065523780411895
# 20 20 20
37.0 20 20 1.0000000739092003 1.2104228334449112
# 20 20 20
38.00000000000001 20 20 1.0000000897182852 1.2148116433759557
# 20 20 20
39.00000000000001 20 20 1.0000000980651063 1.2192633316828245
# 20 20 20
40.00000000000001 20 20 1.0000001028009105 1.2235973209025748
# 20 20 20
41.00000000000001 20 20 1.0000001074877387 1.2279699296053102
# 20 20 20
42.00000000000001 20 20 1.0000001108735797 1.232858878085336
# 20 20 20
43.00000000000001 20 20 1.0000001150763689 1.238963854674744
# 20 20 20
44.0 20 20 1.0000001220909684 1.2470331471327407
# 20 20 20
44.99999999999999 20 20 1.0000001299369365 1.2576455277329894
# 20 20 20
45.99999999999999 20 20 1.0000001350944183 1.2709937476928732
# 20 20 20
46.99999999999999 20 20 1.0000001345961924 1.2867238895675235
# 20 20 20
47.999999999999986 20 20 1.0000001305911295 1.3038772436809423
# 20 20 20
48.99999999999998 20 20 1.0000001279621764 1.3209581914978132
# 20 20 20
49.99999999999997 20 20 1.0000001276728263 1.3361204475924757
# 20 20 20
50.999999999999964 20 20 1.0000001273601167 1.34743610234826
# 20 20 20
51.999999999999964 20 20 1.0000001262328162 1.3531951854682982
# 20 20 20
52.99999999999996 20 20 1.0000001257152147 1.3521798003641818
# 20 20 20
53.999999999999964 20 20 1.0000001268659533 1.3438640452285489
# 20 20 20
54.99999999999996 20 20 1.0000001294937322 1.3285058627937625
# 20 20 20
55.99999999999995 20 20 1.0000001325312582 1.3071168194940495
# 20 20 20
56.99999999999994 20 20 1.000000133590662 1.2813175552369893
# 20 20 20
57.999999999999936 20 20 1.0000001309159625 1.2531066510094582
# 20 20 20
58.999999999999936 20 20 1.0000001253596853 1.2245854631433564
# 20 20 20
59.99999999999993 20 20 1.000000120892786 1.1976885927260297
# 20 20 20
60.99999999999992 20 20 1.0000001223159243 1.1739677740382126
# 20 20 20
61.999999999999915 20 20 1.0000001311203572 1.1544657580544386
# 20 20 20
62.99999999999991 20 20 1.0000001451896303 1.1396972318967056
# 20 20 20
63.999999999999915 20 20 1.000000160925934 1.1297295084493317
# 20 20 20
64.99999999999991 20 20 1.0000001760207438 1.1243330773379563
# 20 20 20
65.9999999999999 20 20 1.0000001872794242 1.1231579668184697
# 20 20 20
66.9999999999999 20 20 1.0000001925562643 1.1258897601476106
# 20 20 20
67.9999999999999 20 20 1.0000001937059286 1.1323478133905274
# 20 20 20
68.99999999999989 20 20 1.000000193776624 1.1425038115641115
# 20 20 20
69.99999999999989 20 20 1.0000001945880586 1.156417612778472
# 20 20 20
70.99999999999987 20 20 1.0000001959392377 1.1741067844448771
# 20 20 20
71.99999999999987 20 20 1.0000001971792218 1.1953834763975566
# 20 20 20
72.99999999999987 20 20 1.0000001982191558 1.2197030413330308
# 20 20 20
73.99999999999987 20 20 1.000000199066929 1.2460686752576282
# 20 20 20
74.99999999999987 20 20 1.0000001989070963 1.2730239439175337
# 20 20 20
75.99999999999986 20 20 1.000000197497105 1.2987440712385272
# 20 20 20
76.99999999999986 20 20 1.0000001964104588 1.3212143407734263
# 20 20 20
77.99999999999984 20 20 1.000000196766146 1.3384661406747922
# 20 20 20
78.99999999999984 20 20 1.000000197595904 1.3488308984517874
# 20 20 20
79.99999999999984 20 20 1.0000001976833846 1.351169404884818
# 20 20 20
80.99999999999983 20 20 1.0000001972818233 1.345038035917736
# 20 20 20
81.99999999999983 20 20 1.0000001962015324 1.3307635466524255
# 20 20 20
82.99999999999983 20 20 1.0000001926559938 1.3094133483649477
# 20 20 20
83.99999999999983 20 20 1.0000001864301313 1.2826661454091828
# 20 20 20
84.99999999999982 20 20 1.000000179358802 1.2526050023417772
# 20 20 20
85.99999999999983 20 20 1.000000174018418 1.2214678406631156
# 20 20 20
86.99999999999983 20 20 1.0000001720133227 1.1913967824775409
# 20 20 20
87.99999999999984 20 20 1.0000001731038786 1.1642269476164988
# 20 20 20
88.99999999999984 20 20 1.0000001769710272 1.1413474222955629
# 20 20 20
89.99999999999984 20 20 1.0000001828517622 1.1236526993152787
# 20 20 20
90.99999999999986 20 20 1.0000001883332459 1.1115835692904907
# 20 20 20
91.99999999999984 20 20 1.0000001918971695 1.1052361528042431
# 20 20 20
92.99999999999986 20 20 1.0000001938233656 1.1045023920739399
# 20 20 20
93.99999999999986 20 20 1.0000001953024018 1.109199958313462
# 20 20 20
94.99999999999986 20 20 1.0000001977209185 1.1191555934578459
# 20 20 20
95.99999999999987 20 20 1.0000002014808471 1.1342208460192862
# 20 20 20
96.99999999999987 20 20 1.0000002065597218 1.1542184915952207
# 20 20 20
97.99999999999989 20 20 1.000000212922888 1.1788370683726095
# 20 20 20
98.99999999999989 20 20 1.0000002198276536 1.207505684234123
# 20 20 20
99.9999999999999 20 20 1.0000002256250875 1.239287873188126
# 20 20 20
100.9999999999999 20 20 1.0000002293834127 1.2728297836618712
# 20 20 20
101.99999999999991 20 20 1.0000002324999615 1.3063854877356296
# 20 20 20
102.9999999999999 20 20 1.000000236319008 1.3379248114457394
# 20 20 20
103.9999999999999 20 20 1.000000240004003 1.3653117657050438
# 20 20 20
104.99999999999991 20 20 1.0000002421116314 1.3865279301165545
# 20 20 20
105.99999999999991 20 20 1.0000002428788606 1.3999065323414654
# 20 20 20
106.99999999999993 26 20 1.0000002433676016 1.404340002550404
# 20 20 20
107.99999999999993 20 20 1.0000002443821971 1.3994268977069935
# 20 20 20
108.99999999999994 20 20 1.0000002467476299 1.385533378046817
# 20 20 20
